aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
105,종로센트레빌,11110-2224,0002,0001,2008,개인, , ,"89,000",6,9,2025,중개거래,서울 종로구,59.92,7,2-1,1,N,25.10.13,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동
103,두산,11110-34,0232,0000,1999,개인, , ,"83,700",4,9,2025,중개거래,서울 종로구,59.95,14,232,1,N,25.11.28,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동
104동,경희궁롯데캐슬,11110-2519,0089,0000,2019,개인, , ,"175,000",14,9,2025,중개거래,"경기 부천시 원미구, 서울 종로구",84.8792,6,89,1,N,25.10.31,통일로,00230,00000,3000008,00,11110,0,11110,개인,18700,무악동
112,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"140,000",11,9,2025,중개거래,"서울 서대문구, 서울 종로구",84.858,16,60,1,N,25.12.12,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동
110,현대,11110-90,0082,0000,2000,개인, , ,"137,900",6,9,2025,중개거래,서울 종로구,84.92,18,82,1,N,25.10.01,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동
201,인왕산2차아이파크,11110-2417,0088,0000,2015,개인, , ,"121,700",11,9,2025,중개거래,서울 종로구,84.4924,6,88,1,N,26.01.27,통일로18길,00034,00000,4100482,01,11110,0,11110,개인,18700,무악동
204,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"72,000",12,9,2025,중개거래,서울 종로구,79.87,13,703,1,N,26.01.30,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
로얄팰리스스위트,로얄팰리스스위트,11110-205,0085,0000,2005,개인, , ,"39,000",3,9,2025,중개거래,서울 종로구,43.07,9,85,1,N,25.10.27,율곡로2길,00007,00000,4100234,01,11110,0,11110,개인,12400,수송동
104,롯데캐슬로잔,11110-2246,0108,0000,2009,개인, , ,"230,000",5,9,2025,중개거래,서울 서초구,225.857,5,108,1,N,25.11.27,평창문화로,00156,00000,3100023,01,11110,0,11110,개인,18300,평창동
101,창신쌍용1,11110-37,0702,0000,1992,개인, , ,"66,500",8,9,2025,중개거래,서울 종로구,54.7,10,702,1,N,25.11.07,동망산길,00019,00000,4100065,01,11110,0,11110,개인,17400,창신동
202,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"63,500",6,9,2025,중개거래,서울 종로구,64.66,9,703,1,N,25.10.15,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
 ,종로청계힐스테이트,11110-2234,0766,0000,2009,개인,25.11.27,O,"84,500",1,9,2025,중개거래,서울 종로구,59.9426,4,766,1,N, ,숭인동길,00021,00000,4100204,01,11110,0,11110,개인,17500,숭인동
101,두산,11110-34,0232,0000,1999,개인, , ,"86,000",3,9,2025,중개거래,서울 종로구,59.95,5,232,1,N,25.09.17,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동
117,인왕산아이파크,11110-2212,0060,0000,2008,개인, , ,"140,000",2,9,2025,중개거래,서울 종로구,84.858,6,60,1,N,25.12.05,통일로16길,00008,00003,4100480,00,11110,0,11110,개인,18700,무악동
